1-Minute Level Data For MVSA / DB2A
 
Date & Time,Records,Commits,Aborts,C1 Time,C2 Time,C1 TCB,C2 TCB,SQL Sent,SQL Received
2021/04/06 11:21,    17564,   142630,      205,   10497.373,     346.016,     45.640,     39.246,         0,   1380151
2021/04/06 11:22,    17475,   140094,      202,    9481.374,     414.790,     44.444,     37.858,         0,   1417343
2021/04/06 11:23,    17452,   141051,      176,   10250.698,     354.425,     42.226,     35.843,         0,   1383187
2021/04/06 11:24,    17638,   142835,      140,   10049.414,     388.784,     48.686,     42.030,         0,   1437214
2021/04/06 11:25,    17122,   138172,      134,   10352.665,     410.509,     62.917,     56.315,         0,   1403815
2021/04/06 11:26,    17704,   140615,      166,    9723.462,     415.578,     62.721,     56.013,         0,   1495950
2021/04/06 11:27,    17262,   138850,      172,    9423.364,     372.111,     53.448,     47.084,         0,   1352405
2021/04/06 11:28,    17706,   136875,      182,    9979.358,     350.857,     48.721,     42.009,         0,   1438578
2021/04/06 11:29,    18338,   139282,      154,   11421.070,     382.856,     49.761,     42.440,         0,   1529433
2021/04/06 11:30,    16872,   131825,      126,   10464.348,     434.394,     46.556,     39.726,         0,   1377546
2021/04/06 11:31,    17683,   136468,      198,   11243.144,     414.822,     55.457,     47.910,         0,   1487748
2021/04/06 11:32,    17006,   132629,       92,    9119.739,     340.282,     48.755,     41.714,         0,   1395925
2021/04/06 11:33,    17465,   133982,      113,   11214.549,     381.832,     53.738,     46.559,         0,   1463069
2021/04/06 11:34,    17889,   136878,      122,    9376.570,     338.600,     49.220,     42.123,         0,   1535249
2021/04/06 11:35,    17645,   133747,      102,    9357.759,     349.876,     52.560,     45.332,         0,   1521297
2021/04/06 11:36,    17038,   129753,       85,    8918.494,     327.158,     42.120,     35.345,         0,   1459308
2021/04/06 11:37,    16557,   128399,       79,   10423.043,     367.173,     40.416,     34.123,         0,   1429979
2021/04/06 11:38,    17473,   133927,      118,    9044.804,     365.884,     45.295,     38.523,         0,   1557368
2021/04/06 11:39,    17704,   137454,      122,    9069.927,     381.235,     49.038,     42.487,         0,   1414110
2021/04/06 11:40,    16838,   129533,      141,    8919.220,     330.883,     46.805,     40.258,         0,   1447395
2021/04/06 11:41,    17959,   138045,      145,   10151.771,     428.089,     48.071,     41.133,         0,   1514767
2021/04/06 11:42,    18631,   144145,      156,   11731.021,     419.295,     51.991,     44.691,         0,   1635192
2021/04/06 11:43,    18220,   137884,      110,   11694.781,     361.657,     48.430,     41.446,         0,   1592706
2021/04/06 11:44,    18439,   138275,      104,    9752.170,     307.084,     44.730,     37.899,         0,   1537752
2021/04/06 11:45,    18400,   139334,      102,   11521.317,     425.093,     50.961,     43.619,         0,   1497712
2021/04/06 11:46,    18133,   137357,      115,    9379.033,     414.251,     48.787,     41.830,         0,   1487735
2021/04/06 11:47,    17696,   137444,       98,   10631.095,     471.347,     50.055,     43.184,         0,   1425889
2021/04/06 11:48,    18348,   139667,       72,    9515.274,     470.186,     49.279,     42.470,         0,   1507957
2021/04/06 11:49,    17138,   131453,       83,    9873.566,     375.407,     44.878,     38.230,         0,   1440784
2021/04/06 11:50,    17947,   136401,      129,   10210.134,     417.322,     52.659,     45.971,         0,   1475474
2021/04/06 11:51,    18308,   138881,       94,    9519.931,     380.693,     48.571,     41.738,         0,   1584136
2021/04/06 11:52,    17772,   133936,      124,    9242.352,     343.056,     48.042,     41.267,         0,   1480783
2021/04/06 11:53,    17095,   131441,       88,    9844.164,     363.667,     50.949,     44.415,         0,   1477076
2021/04/06 11:54,    18179,   138096,      100,    9787.519,     396.292,     49.490,     42.876,         0,   1531165
2021/04/06 11:55,    17267,   132061,      111,    9783.315,     301.959,     45.100,     38.592,         0,   1460775
2021/04/06 11:56,    16748,   130018,       99,   10007.364,     338.507,     47.671,     41.417,         0,   1384987
2021/04/06 11:57,    16428,   128059,      100,   10936.077,     389.894,     51.979,     45.632,         0,   1382350
2021/04/06 11:58,    17306,   132796,       97,    9336.816,     367.368,     48.213,     41.595,         0,   1435627
2021/04/06 11:59,    17913,   136544,      119,   10311.152,     425.209,     56.612,     49.309,         0,   1627173
2021/04/06 12:00,        1,       10,        0,       0.214,       0.011,      0.000,      0.000,         0,         3
